FID,items
star_transects.fid-35735e87_1942a663648_-72fa,[<Item id=EMIT_L2A_RFL_001_20231022T055300_2329504_048>]
star_transects.fid-35735e87_1942a663648_-72fb,"[<Item id=EMIT_L2A_RFL_001_20231022T055248_2329504_047>, <Item id=EMIT_L2A_RFL_001_20231022T055300_2329504_048>]"
star_transects.fid-35735e87_1942a663648_-6fd1,[<Item id=EMIT_L2A_RFL_001_20231022T055248_2329504_047>]
star_transects.fid-35735e87_1942a663648_-7332,[<Item id=EMIT_L2A_RFL_001_20231022T055248_2329504_047>]
star_transects.fid-35735e87_1942a663648_-7067,[<Item id=EMIT_L2A_RFL_001_20231022T055237_2329504_046>]
star_transects.fid-35735e87_1942a663648_-7068,[<Item id=EMIT_L2A_RFL_001_20231022T055237_2329504_046>]
star_transects.fid-35735e87_1942a663648_-754d,"[<Item id=EMIT_L2A_RFL_001_20231030T024137_2330302_025>, <Item id=EMIT_L2A_RFL_001_20231103T010500_2330701_022>]"
star_transects.fid-35735e87_1942a663648_-71cb,"[<Item id=EMIT_L2A_RFL_001_20231022T055225_2329504_045>, <Item id=EMIT_L2A_RFL_001_20231026T041710_2329903_030>, <Item id=EMIT_L2A_RFL_001_20231030T024114_2330302_023>]"
star_transects.fid-35735e87_1942a663648_-71ca,"[<Item id=EMIT_L2A_RFL_001_20231022T055225_2329504_045>, <Item id=EMIT_L2A_RFL_001_20231026T041710_2329903_030>, <Item id=EMIT_L2A_RFL_001_20231030T024114_2330302_023>]"
star_transects.fid-35735e87_1942a663648_-754c,"[<Item id=EMIT_L2A_RFL_001_20231030T024137_2330302_025>, <Item id=EMIT_L2A_RFL_001_20231103T010500_2330701_022>]"
